_id,VCHTYPE
65d0f593a9f96d011aaf4c8d,PNB Receipt
65d0f593a9f96d011aaf4c8e,PNB Receipt
65d0f593a9f96d011aaf4c8f,Purchase
65d0f593a9f96d011aaf4c90,Purchase
65d0f593a9f96d011aaf4c91,Purchase
65d0f593a9f96d011aaf4c92,Sales
65d0f593a9f96d011aaf4c93,Sales
65d0f593a9f96d011aaf4c94,Sales
65d0f593a9f96d011aaf4c95,Sales
65d0f593a9f96d011aaf4c96,Sales
65d0f593a9f96d011aaf4c97,Sales
65d0f593a9f96d011aaf4c98,Sales
65d0f593a9f96d011aaf4c99,Sales
65d0f593a9f96d011aaf4c9a,Sales
65d0f593a9f96d011aaf4c9b,Sales
65d0f593a9f96d011aaf4c9c,Sales
65d0f593a9f96d011aaf4c9d,Sales
65d0f593a9f96d011aaf4c9e,Sales
65d0f593a9f96d011aaf4c9f,Sales
65d0f593a9f96d011aaf4ca0,Sales
65d0f593a9f96d011aaf4ca1,Sales
65d0f593a9f96d011aaf4ca2,Sales
65d0f593a9f96d011aaf4ca3,Sales
65d0f593a9f96d011aaf4ca4,Sales
65d0f593a9f96d011aaf4ca5,Sales
65d0f593a9f96d011aaf4ca6,Sales
65d0f593a9f96d011aaf4ca7,Sales
65d0f593a9f96d011aaf4ca8,Sales
65d0f593a9f96d011aaf4ca9,Sales
65d0f593a9f96d011aaf4caa,Sales
65d0f593a9f96d011aaf4cab,Sales
65d0f593a9f96d011aaf4cac,Sales
65d0f593a9f96d011aaf4cad,Sales
65d0f593a9f96d011aaf4cae,Sales
65d0f593a9f96d011aaf4caf,Sales
65d0f593a9f96d011aaf4cb0,Sales
65d0f593a9f96d011aaf4cb1,Sales
65d0f593a9f96d011aaf4cb2,Sales
65d0f593a9f96d011aaf4cb3,Sales
65d0f593a9f96d011aaf4cb4,Sales
65d0f593a9f96d011aaf4cb5,Sales
65d0f593a9f96d011aaf4cb6,Sales
65d0f593a9f96d011aaf4cb7,Sales
65d0f593a9f96d011aaf4cb8,Sales
65d0f593a9f96d011aaf4cb9,Sales
65d0f593a9f96d011aaf4cba,Sales
65d0f593a9f96d011aaf4cbb,Sales
65d0f593a9f96d011aaf4cbc,Sales
65d0f593a9f96d011aaf4cbd,Sales
65d0f593a9f96d011aaf4cbe,Sales
65d0f593a9f96d011aaf4cbf,Sales
65d0f593a9f96d011aaf4cc0,Sales
65d0f593a9f96d011aaf4cc1,Sales
65d0f593a9f96d011aaf4cc2,Sales
65d0f593a9f96d011aaf4cc3,Sales
65d0f593a9f96d011aaf4cc4,Sales
65d0f593a9f96d011aaf4cc5,Sales
65d0f593a9f96d011aaf4cc6,Sales
65d0f593a9f96d011aaf4cc7,Sales
65d0f593a9f96d011aaf4cc8,Sales
65d0f593a9f96d011aaf4cc9,Sales
65d0f593a9f96d011aaf4cca,Sales
